0,1,2,3,4,5,6,7,8,9,10,11,12,13
"S.
No",State/UT,Offences affecting the Human Body,,,,,,,,,,,
,,Murder (Sec.302 IPC),,,"Culpable Homicide not
amounting to Murder
(Sec.304 IPC)",,,Causing Death by Negligence,,,,,
,,,,,,,,"Causing Death by Negligence
(Sec.304-A IPC) (Total)",,,,,
27 Uttar Pradesh 2784 2912 1.2 2444 2521 2.3 674 723 0.3,,,,,,,,,,,,,
28 Uttarakhand 21 82 0.2 63 63 1.2 89 89 0.8,,,,,,,,,,,,,
29 West Bengal 126 133 0.1 444 444 0.9 642 644 0.7,,,,,,,,,,,,,
TOTAL STATE(S) 8197 8918 0.6 7007 7114 1.1 8230 8894 0.6,,,,,,,,,,,,,
UNION TERRITORIES:,,,,,,,,,,,,,
30 A&N Islands 12 13 3.0 0 0 0.0 3 4 0.8,,,,,,,,,,,,,
31 Chandigarh 0 0 0.0 6 6 1.1 7 7 0.6,,,,,,,,,,,,,
32 D&N Haveli 18 18 3.4 0 0 0.0 1 1 0.2,,,,,,,,,,,,,
33 Daman & Diu 13 13 3.3 0 0 0.0 0 0 0.0,,,,,,,,,,,,,
34 Delhi 251 279 1.3 153 157 1.7 82 86 0.4,,,,,,,,,,,,,
35 Lakshadweep 0 0 0.0 0 0 0.0 0 0 0.0,,,,,,,,,,,,,
36 Puducherry 196 196 13.2 0 0 0.0 1 2 0.1,,,,,,,,,,,,,
"TOTAL UT(S) 490 519 2.1 159 163 1.4 94 100 0.4
TOTAL ALL INDIA 8687 9437 0.7 7166 7277 1.1 8324 8994 0.6",,,,,,,,,,,,,
"S.
No",State/UT,Offences affecting the Human Body,,,,,,,,,,,
,,"Attempt to Commit Murder
(Sec.307 IPC)",,,"Attempt to commit Culpable
Homicide (Sec.308 IPC)",,,"Attempt to Commit Suicide
(Sec.309 IPC)",,,,,
,,I,V,R,I,V,R,I,V,R,,,
1,2,39,40,41,42,43,44,45,46,47,,,
STATES:,,,,,,,,,,,,,
1 Andhra Pradesh 1827 1946 3.5 8 8 0.0 368 0 0.7,,,,,,,,,,,,,
2 Arunachal Pradesh 41 47 2.7 1 1 0.1 0 0 0.0,,,,,,,,,,,,,
3 Assam 1443 1445 4.2 1 1 0.0 1 0 0.0,,,,,,,,,,,,,
4 Bihar 7196 7559 6.1 598 619 0.5 33 0 0.0,,,,,,,,,,,,,
5 Chhattisgarh 685 712 2.4 1 1 0.0 24 0 0.1,,,,,,,,,,,,,
6 Goa 28 41 1.8 0 0 0.0 1 0 0.1,,,,,,,,,,,,,
7 Gujarat 1276 1492 1.9 21 21 0.0 5 0 0.0,,,,,,,,,,,,,
8 Haryana 984 995 3.5 10 10 0.0 70 0 0.2,,,,,,,,,,,,,
9 Himachal Pradesh 58 58 0.8 0 0 0.0 33 0 0.5,,,,,,,,,,,,,
10 Jammu & Kashmir 438 486 3.3 0 0 0.0 365 0 2.7,,,,,,,,,,,,,
11 Jharkhand 1901 1941 5.1 1 1 0.0 7 0 0.0,,,,,,,,,,,,,
12 Karnataka 2638 3282 4.0 28 49 0.0 175 0 0.3,,,,,,,,,,,,,
13 Kerala 672 737 1.9 2210 2334 6.3 65 0 0.2,,,,,,,,,,,,,
14 Madhya Pradesh 1785 2002 2.2 146 165 0.2 45 0 0.1,,,,,,,,,,,,,
15 Maharashtra 3162 3486 2.6 40 57 0.0 367 0 0.3,,,,,,,,,,,,,
16 Manipur 131 149 4.3 0 0 0.0 1 0 0.0,,,,,,,,,,,,,
17 Meghalaya 50 55 1.6 0 0 0.0 0 0 0.0,,,,,,,,,,,,,
18 Mizoram 9 11 0.8 1 1 0.1 0 0 0.0,,,,,,,,,,,,,
19 Nagaland 40 45 1.9 0 0 0.0 1 0 0.0,,,,,,,,,,,,,
20 Odisha 3070 3086 7.0 280 280 0.6 16 0 0.0,,,,,,,,,,,,,
21 Punjab 824 846 2.8 57 63 0.2 23 0 0.1,,,,,,,,,,,,,
22 Rajasthan 1659 1687 2.2 440 449 0.6 21 0 0.0,,,,,,,,,,,,,
23 Sikkim 12 13 1.8 0 0 0.0 3 0 0.5,,,,,,,,,,,,,
24 Tamil Nadu 2571 2748 3.4 0 0 0.0 195 0 0.3,,,,,,,,,,,,,
25 Telangana 1143 1239 3.1 10 10 0.0 188 0 0.5,,,,,,,,,,,,,
26 Tripura 180 203 4.5 0 0 0.0 0 0 0.0,,,,,,,,,,,,,
27 Uttar Pradesh 4834 4949 2.2 1527 1534 0.7 29 0 0.0,,,,,,,,,,,,,
28 Uttarakhand 163 163 1.5 5 5 0.0 1 0 0.0,,,,,,,,,,,,,
